Source,CH1
Second,Volt
-0.03000000000,11.60000,
-0.02999600000,11.20000,
-0.02999200000,11.20000,
-0.02998800000,11.20000,
-0.02998400000,11.20000,
-0.02998000000,11.20000,
-0.02997600000,11.20000,
-0.02997200000,11.20000,
-0.02996800000,11.20000,
-0.02996400000,11.20000,
-0.02996000000,11.20000,
-0.02995600000,11.20000,
-0.02995200000,11.20000,
-0.02994800000,11.20000,
-0.02994400000,11.20000,
-0.02994000000,11.20000,
-0.02993600000,11.20000,
-0.02993200000,11.20000,
-0.02992800000,11.20000,
-0.02992400000,11.20000,
-0.02992000000,11.20000,
-0.02991600000,10.80000,
-0.02991200000,10.80000,
-0.02990800000,11.20000,
-0.02990400000,10.80000,
-0.02990000000,10.80000,
-0.02989600000,11.20000,
-0.02989200000,10.80000,
-0.02988800000,10.80000,
-0.02988400000,10.80000,
-0.02988000000,10.40000,
-0.02987600000,10.40000,
-0.02987200000,10.80000,
-0.02986800000,10.40000,
-0.02986400000,10.40000,
-0.02986000000,10.80000,
-0.02985600000,10.40000,
-0.02985200000,10.40000,
-0.02984800000,10.40000,
-0.02984400000,10.40000,
-0.02984000000,10.40000,
-0.02983600000,10.40000,
-0.02983200000,10.40000,
-0.02982800000,10.40000,
-0.02982400000,10.40000,
-0.02982000000,10.40000,
-0.02981600000,10.00000,
-0.02981200000,10.40000,
-0.02980800000,10.40000,
-0.02980400000,10.00000,
-0.02980000000,10.40000,
-0.02979600000,10.00000,
-0.02979200000,10.40000,
-0.02978800000,10.00000,
-0.02978400000,10.00000,
-0.02978000000,10.00000,
-0.02977600000,10.40000,
-0.02977200000,10.00000,
-0.02976800000,10.00000,
-0.02976400000,10.00000,
-0.02976000000,10.00000,
-0.02975600000,10.00000,
-0.02975200000,10.00000,
-0.02974800000,9.60000,
-0.02974400000,10.00000,
-0.02974000000,9.60000,
-0.02973600000,9.60000,
-0.02973200000,10.00000,
-0.02972800000,9.60000,
-0.02972400000,10.00000,
-0.02972000000,9.60000,
-0.02971600000,9.60000,
-0.02971200000,9.60000,
-0.02970800000,9.60000,
-0.02970400000,9.60000,
-0.02970000000,9.60000,
-0.02969600000,9.60000,
-0.02969200000,9.60000,
-0.02968800000,9.60000,
-0.02968400000,9.60000,
-0.02968000000,9.60000,
-0.02967600000,9.60000,
-0.02967200000,9.20000,
-0.02966800000,9.60000,
-0.02966400000,9.60000,
-0.02966000000,9.20000,
-0.02965600000,9.20000,
-0.02965200000,9.60000,
-0.02964800000,9.60000,
-0.02964400000,9.20000,
-0.02964000000,9.20000,
-0.02963600000,9.20000,
-0.02963200000,8.80000,
-0.02962800000,9.20000,
-0.02962400000,9.20000,
-0.02962000000,8.80000,
-0.02961600000,9.20000,
-0.02961200000,8.80000,
-0.02960800000,8.80000,
-0.02960400000,8.80000,
-0.02960000000,8.80000,
-0.02959600000,8.80000,
-0.02959200000,8.80000,
-0.02958800000,8.80000,
-0.02958400000,8.80000,
-0.02958000000,8.80000,
-0.02957600000,8.80000,
-0.02957200000,8.80000,
-0.02956800000,8.80000,
-0.02956400000,8.40000,
-0.02956000000,8.40000,
-0.02955600000,8.40000,
-0.02955200000,8.40000,
-0.02954800000,8.40000,
-0.02954400000,8.40000,
-0.02954000000,8.40000,
-0.02953600000,8.00000,
-0.02953200000,8.00000,
-0.02952800000,8.40000,
-0.02952400000,8.40000,
-0.02952000000,8.40000,
-0.02951600000,8.00000,
-0.02951200000,8.00000,
-0.02950800000,8.00000,
-0.02950400000,8.00000,
