Source,CH1
Second,Volt
-0.03000000000,134.00000,
-0.02999600000,134.00000,
-0.02999200000,134.00000,
-0.02998800000,134.00000,
-0.02998400000,134.00000,
-0.02998000000,134.00000,
-0.02997600000,134.00000,
-0.02997200000,134.00000,
-0.02996800000,134.00000,
-0.02996400000,132.00000,
-0.02996000000,134.00000,
-0.02995600000,134.00000,
-0.02995200000,132.00000,
-0.02994800000,132.00000,
-0.02994400000,132.00000,
-0.02994000000,130.00000,
-0.02993600000,130.00000,
-0.02993200000,130.00000,
-0.02992800000,130.00000,
-0.02992400000,130.00000,
-0.02992000000,132.00000,
-0.02991600000,130.00000,
-0.02991200000,130.00000,
-0.02990800000,130.00000,
-0.02990400000,130.00000,
-0.02990000000,130.00000,
-0.02989600000,130.00000,
-0.02989200000,128.00000,
-0.02988800000,128.00000,
-0.02988400000,128.00000,
-0.02988000000,130.00000,
-0.02987600000,128.00000,
-0.02987200000,128.00000,
-0.02986800000,130.00000,
-0.02986400000,128.00000,
-0.02986000000,128.00000,
-0.02985600000,128.00000,
-0.02985200000,126.00000,
-0.02984800000,126.00000,
-0.02984400000,126.00000,
-0.02984000000,126.00000,
-0.02983600000,126.00000,
-0.02983200000,126.00000,
-0.02982800000,124.00000,
-0.02982400000,126.00000,
-0.02982000000,126.00000,
-0.02981600000,126.00000,
-0.02981200000,124.00000,
-0.02980800000,124.00000,
-0.02980400000,122.00000,
-0.02980000000,122.00000,
-0.02979600000,122.00000,
-0.02979200000,122.00000,
-0.02978800000,124.00000,
-0.02978400000,122.00000,
-0.02978000000,122.00000,
-0.02977600000,122.00000,
-0.02977200000,122.00000,
-0.02976800000,122.00000,
-0.02976400000,122.00000,
-0.02976000000,122.00000,
-0.02975600000,122.00000,
-0.02975200000,120.00000,
-0.02974800000,118.00000,
-0.02974400000,118.00000,
-0.02974000000,120.00000,
-0.02973600000,118.00000,
-0.02973200000,118.00000,
-0.02972800000,120.00000,
-0.02972400000,118.00000,
-0.02972000000,118.00000,
-0.02971600000,118.00000,
-0.02971200000,118.00000,
-0.02970800000,118.00000,
-0.02970400000,118.00000,
-0.02970000000,118.00000,
-0.02969600000,118.00000,
-0.02969200000,118.00000,
-0.02968800000,118.00000,
-0.02968400000,118.00000,
-0.02968000000,116.00000,
-0.02967600000,116.00000,
-0.02967200000,116.00000,
-0.02966800000,116.00000,
-0.02966400000,116.00000,
-0.02966000000,116.00000,
-0.02965600000,116.00000,
-0.02965200000,116.00000,
-0.02964800000,116.00000,
-0.02964400000,116.00000,
-0.02964000000,116.00000,
-0.02963600000,116.00000,
-0.02963200000,114.00000,
-0.02962800000,114.00000,
-0.02962400000,114.00000,
-0.02962000000,114.00000,
-0.02961600000,112.00000,
-0.02961200000,112.00000,
-0.02960800000,112.00000,
-0.02960400000,112.00000,
-0.02960000000,112.00000,
-0.02959600000,112.00000,
-0.02959200000,110.00000,
-0.02958800000,112.00000,
-0.02958400000,112.00000,
-0.02958000000,110.00000,
-0.02957600000,110.00000,
-0.02957200000,110.00000,
-0.02956800000,108.00000,
-0.02956400000,108.00000,
-0.02956000000,110.00000,
-0.02955600000,110.00000,
-0.02955200000,108.00000,
-0.02954800000,108.00000,
-0.02954400000,108.00000,
-0.02954000000,108.00000,
-0.02953600000,106.00000,
-0.02953200000,106.00000,
-0.02952800000,106.00000,
-0.02952400000,106.00000,
-0.02952000000,104.00000,
-0.02951600000,106.00000,
-0.02951200000,104.00000,
-0.02950800000,104.00000,
-0.02950400000,104.00000,
-0.02950000000,104.00000,
-0.02949600000,104.00000,
-0.02949200000,104.00000,
-0.02948800000,104.00000,
-0.02948400000,104.00000,
-0.02948000000,104.00000,
-0.02947600000,104.00000,
-0.02947200000,104.00000,
-0.02946800000,100.00000,
-0.02946400000,102.00000,
-0.02946000000,100.00000,
-0.02945600000,100.00000,
-0.02945200000,100.00000,
-0.02944800000,100.00000,
-0.02944400000,100.00000,
-0.02944000000,100.00000,
-0.02943600000,100.00000,
-0.02943200000,100.00000,
-0.02942800000,100.00000,
-0.02942400000,100.00000,
-0.02942000000,98.00000,
-0.02941600000,100.00000,
-0.02941200000,98.00000,
-0.02940800000,98.00000,
-0.02940400000,98.00000,
-0.02940000000,98.00000,
-0.02939600000,98.00000,
-0.02939200000,96.00000,
-0.02938800000,96.00000,
-0.02938400000,96.00000,
-0.02938000000,94.00000,
-0.02937600000,94.00000,
-0.02937200000,94.00000,
-0.02936800000,94.00000,
-0.02936400000,96.00000,
-0.02936000000,94.00000,
-0.02935600000,94.00000,
-0.02935200000,94.00000,
-0.02934800000,94.00000,
-0.02934400000,92.00000,
